lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-120.0,0.2288767596983406,1001.0,-432000.0,-7200.0,-120.0
-119.0,0.2326083198614327,1002.0,-428400.0,-7140.0,-119.0
-118.0,0.23752858883585667,1003.0,-424800.0,-7080.0,-118.0
-117.0,0.24393714595246974,1004.0,-421200.0,-7020.0,-117.0
-116.0,0.2499055354692737,1005.0,-417600.0,-6960.0,-116.0
-115.0,0.25580879224104935,1006.0,-414000.0,-6900.0,-115.0
-114.0,0.2637837228992326,1007.0,-410400.0,-6840.0,-114.0
-113.0,0.26348544926027606,1008.0,-406800.0,-6780.0,-113.0
-112.0,0.26106304081869225,1009.0,-403200.0,-6720.0,-112.0
-111.0,0.25974924264358296,1010.0,-399600.0,-6660.0,-111.0
-110.0,0.25728194407454125,1011.0,-396000.0,-6600.0,-110.0
-109.0,0.25614047246861055,1012.0,-392400.0,-6540.0,-109.0
-108.0,0.25447157686828004,1013.0,-388800.0,-6480.0,-108.0
-107.0,0.25518272509430223,1014.0,-385200.0,-6420.0,-107.0
-106.0,0.2555213782047501,1015.0,-381600.0,-6360.0,-106.0
-105.0,0.2626049452606013,1016.0,-378000.0,-6300.0,-105.0
-104.0,0.2693142334809589,1017.0,-374400.0,-6240.0,-104.0
-103.0,0.27520499985076163,1018.0,-370800.0,-6180.0,-103.0
-102.0,0.277581738414577,1019.0,-367200.0,-6120.0,-102.0
-101.0,0.27917112400918204,1020.0,-363600.0,-6060.0,-101.0
-100.0,0.2829928561702619,1021.0,-360000.0,-6000.0,-100.0
-99.0,0.2861079542339547,1022.0,-356400.0,-5940.0,-99.0
-98.0,0.2910314721400202,1023.0,-352800.0,-5880.0,-98.0
-97.0,0.2959703800797807,1024.0,-349200.0,-5820.0,-97.0
-96.0,0.2984248794045015,1025.0,-345600.0,-5760.0,-96.0
-95.0,0.3008225837784505,1026.0,-342000.0,-5700.0,-95.0
-94.0,0.30504049799687427,1027.0,-338400.0,-5640.0,-94.0
-93.0,0.3085395667319732,1028.0,-334800.0,-5580.0,-93.0
-92.0,0.31267257655449493,1029.0,-331200.0,-5520.0,-92.0
-91.0,0.31642264483634863,1030.0,-327600.0,-5460.0,-91.0
-90.0,0.3226488382375644,1031.0,-324000.0,-5400.0,-90.0
-89.0,0.32517409071562225,1032.0,-320400.0,-5340.0,-89.0
-88.0,0.3209360833045227,1033.0,-316800.0,-5280.0,-88.0
