lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-168.0,-0.030299824708180077,948.0,-604800.0,-10080.0,-168.0
-167.0,-0.018603427567985054,949.0,-601200.0,-10020.0,-167.0
-166.0,0.007280936983041244,950.0,-597600.0,-9960.0,-166.0
-165.0,0.017596504157317113,950.0,-594000.0,-9900.0,-165.0
-164.0,0.0561079427545345,951.0,-590400.0,-9840.0,-164.0
-163.0,0.10256755788290442,952.0,-586800.0,-9780.0,-163.0
-162.0,0.14022410629721546,953.0,-583200.0,-9720.0,-162.0
-161.0,0.14343631447876548,954.0,-579600.0,-9660.0,-161.0
-160.0,0.09074166548332278,955.0,-576000.0,-9600.0,-160.0
-159.0,0.03458450304301252,956.0,-572400.0,-9540.0,-159.0
-158.0,-0.011365169899847571,957.0,-568800.0,-9480.0,-158.0
-157.0,-0.05285226307650083,958.0,-565200.0,-9420.0,-157.0
-156.0,-0.09089197152480258,959.0,-561600.0,-9360.0,-156.0
-155.0,-0.11983571173673016,960.0,-558000.0,-9300.0,-155.0
-154.0,-0.09919707571477085,961.0,-554400.0,-9240.0,-154.0
-153.0,-0.07404537137583121,962.0,-550800.0,-9180.0,-153.0
-152.0,-0.031480051814610374,963.0,-547200.0,-9120.0,-152.0
-151.0,0.006002821542318043,964.0,-543600.0,-9060.0,-151.0
-150.0,0.03849468065931472,965.0,-540000.0,-9000.0,-150.0
-149.0,0.052640076853104865,966.0,-536400.0,-8940.0,-149.0
-148.0,0.05122453407837352,967.0,-532800.0,-8880.0,-148.0
-147.0,0.01718945075156117,968.0,-529200.0,-8820.0,-147.0
-146.0,0.0016718638257446864,969.0,-525600.0,-8760.0,-146.0
-145.0,-0.004604878906759582,970.0,-522000.0,-8700.0,-145.0
-144.0,-0.008136231281918212,971.0,-518400.0,-8640.0,-144.0
-143.0,0.002618599718485522,972.0,-514800.0,-8580.0,-143.0
-142.0,0.01781414643543645,973.0,-511200.0,-8520.0,-142.0
-141.0,0.0330955635959835,974.0,-507600.0,-8460.0,-141.0
-140.0,0.06639074116808191,975.0,-504000.0,-8400.0,-140.0
-139.0,0.10417745445962123,976.0,-500400.0,-8340.0,-139.0
-138.0,0.1310700691088873,977.0,-496800.0,-8280.0,-138.0
-137.0,0.13292637021251635,978.0,-493200.0,-8220.0,-137.0
-136.0,0.08918354328082555,979.0,-489600.0,-8160.0,-136.0
-135.0,0.044188026632989846,980.0,-486000.0,-8100.0,-135.0
-134.0,0.004184982709891822,981.0,-482400.0,-8040.0,-134.0
-133.0,-0.03049715905548349,982.0,-478800.0,-7980.0,-133.0
-132.0,-0.06776478257579405,983.0,-475200.0,-7920.0,-132.0
-131.0,-0.08718312573425686,984.0,-471600.0,-7860.0,-131.0
-130.0,-0.07641239382657727,985.0,-468000.0,-7800.0,-130.0
-129.0,-0.05622354636118612,986.0,-464400.0,-7740.0,-129.0
-128.0,-0.017497730464013296,987.0,-460800.0,-7680.0,-128.0
-127.0,0.017236652940169652,988.0,-457200.0,-7620.0,-127.0
-126.0,0.05242837588835702,989.0,-453600.0,-7560.0,-126.0
-125.0,0.05526997940395254,990.0,-450000.0,-7500.0,-125.0
-124.0,0.043778220107732115,991.0,-446400.0,-7440.0,-124.0
-123.0,0.022664991467926398,992.0,-442800.0,-7380.0,-123.0
-122.0,0.012552472625672207,993.0,-439200.0,-7320.0,-122.0
-121.0,0.008706680936463887,994.0,-435600.0,-7260.0,-121.0
-120.0,0.00437660779417808,995.0,-432000.0,-7200.0,-120.0
-119.0,0.011472440547120747,996.0,-428400.0,-7140.0,-119.0
-118.0,0.022348719312544032,997.0,-424800.0,-7080.0,-118.0
-117.0,0.03427600662473463,998.0,-421200.0,-7020.0,-117.0
-116.0,0.06162290449327506,999.0,-417600.0,-6960.0,-116.0
-115.0,0.09782975154563481,1000.0,-414000.0,-6900.0,-115.0
-114.0,0.12688668860777294,1001.0,-410400.0,-6840.0,-114.0
-113.0,0.12319533703418947,1002.0,-406800.0,-6780.0,-113.0
-112.0,0.08848136607139337,1003.0,-403200.0,-6720.0,-112.0
-111.0,0.047558266378275295,1004.0,-399600.0,-6660.0,-111.0
-110.0,0.010673538069772196,1005.0,-396000.0,-6600.0,-110.0
-109.0,-0.01665015643727777,1006.0,-392400.0,-6540.0,-109.0
-108.0,-0.04650444911345724,1007.0,-388800.0,-6480.0,-108.0
-107.0,-0.061508240039108084,1008.0,-385200.0,-6420.0,-107.0
-106.0,-0.04859851716267066,1009.0,-381600.0,-6360.0,-106.0
-105.0,-0.02716487754410271,1010.0,-378000.0,-6300.0,-105.0
-104.0,0.004871321654702367,1011.0,-374400.0,-6240.0,-104.0
-103.0,0.04277172426829389,1012.0,-370800.0,-6180.0,-103.0
-102.0,0.0688166732161583,1013.0,-367200.0,-6120.0,-102.0
-101.0,0.07770395685141818,1014.0,-363600.0,-6060.0,-101.0
-100.0,0.07279939616774679,1015.0,-360000.0,-6000.0,-100.0
-99.0,0.04684772189710288,1016.0,-356400.0,-5940.0,-99.0
-98.0,0.03550314231968717,1017.0,-352800.0,-5880.0,-98.0
-97.0,0.03429025953687835,1018.0,-349200.0,-5820.0,-97.0
-96.0,0.03503405184058453,1019.0,-345600.0,-5760.0,-96.0
-95.0,0.04286243390615135,1020.0,-342000.0,-5700.0,-95.0
-94.0,0.05388191570927875,1021.0,-338400.0,-5640.0,-94.0
-93.0,0.06456838148898078,1022.0,-334800.0,-5580.0,-93.0
-92.0,0.09312914200876954,1023.0,-331200.0,-5520.0,-92.0
-91.0,0.12387172440235514,1024.0,-327600.0,-5460.0,-91.0
-90.0,0.14905250713020932,1025.0,-324000.0,-5400.0,-90.0
-89.0,0.15317499654679262,1026.0,-320400.0,-5340.0,-89.0
-88.0,0.1275097503395723,1027.0,-316800.0,-5280.0,-88.0
-87.0,0.09079498707020393,1028.0,-313200.0,-5220.0,-87.0
-86.0,0.0548549977041792,1029.0,-309600.0,-5160.0,-86.0
-85.0,0.028533540052303522,1030.0,-306000.0,-5100.0,-85.0
-84.0,0.008644961635845716,1031.0,-302400.0,-5040.0,-84.0
-83.0,0.00582814938271612,1032.0,-298800.0,-4980.0,-83.0
-82.0,0.017079500443987917,1033.0,-295200.0,-4920.0,-82.0
-81.0,0.04056416170194365,1034.0,-291600.0,-4860.0,-81.0
-80.0,0.07807317158050175,1035.0,-288000.0,-4800.0,-80.0
-79.0,0.10796313823261096,1036.0,-284400.0,-4740.0,-79.0
-78.0,0.13018837062342206,1037.0,-280800.0,-4680.0,-78.0
-77.0,0.13730303746337724,1038.0,-277200.0,-4620.0,-77.0
-76.0,0.092467308762798,1039.0,-273600.0,-4560.0,-76.0
-75.0,0.11014057998274898,1040.0,-270000.0,-4500.0,-75.0
-74.0,0.09563976706927159,1041.0,-266400.0,-4440.0,-74.0
-73.0,0.09882537613509336,1042.0,-262800.0,-4380.0,-73.0
-72.0,0.09336305209503915,1043.0,-259200.0,-4320.0,-72.0
-71.0,0.10448300741124047,1044.0,-255600.0,-4260.0,-71.0
-70.0,0.1159065019745105,1045.0,-252000.0,-4200.0,-70.0
-69.0,0.13546498737840776,1046.0,-248400.0,-4140.0,-69.0
-68.0,0.16597640796523092,1047.0,-244800.0,-4080.0,-68.0
-67.0,0.1926078084584421,1048.0,-241200.0,-4020.0,-67.0
-66.0,0.21925026811173026,1049.0,-237600.0,-3960.0,-66.0
-65.0,0.21761517172022346,1050.0,-234000.0,-3900.0,-65.0
-64.0,0.1906185485202898,1051.0,-230400.0,-3840.0,-64.0
-63.0,0.15420149459312635,1052.0,-226800.0,-3780.0,-63.0
-62.0,0.12220981221411527,1053.0,-223200.0,-3720.0,-62.0
