lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-24.0,0.6145795171893854,1097.0,-86400.0,-1440.0,-24.0
-23.0,0.6195807723796487,1098.0,-82800.0,-1380.0,-23.0
-22.0,0.6192200720912696,1099.0,-79200.0,-1320.0,-22.0
-21.0,0.6251117324375561,1100.0,-75600.0,-1260.0,-21.0
-20.0,0.635658492563398,1101.0,-72000.0,-1200.0,-20.0
-19.0,0.652571666510581,1102.0,-68400.0,-1140.0,-19.0
-18.0,0.6691812295179554,1103.0,-64800.0,-1080.0,-18.0
-17.0,0.6795274284056946,1104.0,-61200.0,-1020.0,-17.0
-16.0,0.6785097396708523,1105.0,-57600.0,-960.0,-16.0
-15.0,0.6645181187133161,1106.0,-54000.0,-900.0,-15.0
-14.0,0.652713932615573,1107.0,-50400.0,-840.0,-14.0
-13.0,0.6399529404538505,1109.0,-46800.0,-780.0,-13.0
-12.0,0.6301367754140572,1111.0,-43200.0,-720.0,-12.0
-11.0,0.6491941814047715,1113.0,-39600.0,-660.0,-11.0
-10.0,0.6416757080627759,1115.0,-36000.0,-600.0,-10.0
-9.0,0.6178575918264697,1117.0,-32400.0,-540.0,-9.0
-8.0,0.6253809953073018,1119.0,-28800.0,-480.0,-8.0
-7.0,0.6367703521229886,1121.0,-25200.0,-420.0,-7.0
-6.0,0.6496603548492668,1123.0,-21600.0,-360.0,-6.0
-5.0,0.6585727149114322,1125.0,-18000.0,-300.0,-5.0
-4.0,0.6656921434234235,1127.0,-14400.0,-240.0,-4.0
-3.0,0.6663250455790439,1129.0,-10800.0,-180.0,-3.0
-2.0,0.6635823995012593,1131.0,-7200.0,-120.0,-2.0
-1.0,0.6573120970680923,1134.0,-3600.0,-60.0,-1.0
0.0,0.6566934478227132,1137.0,0.0,0.0,0.0
1.0,0.6533337764520964,1134.0,3600.0,60.0,1.0
2.0,0.6548382648715849,1131.0,7200.0,120.0,2.0
3.0,0.6575091098119809,1129.0,10800.0,180.0,3.0
4.0,0.6631854620275182,1127.0,14400.0,240.0,4.0
5.0,0.6776737773809851,1125.0,18000.0,300.0,5.0
6.0,0.6935076750590498,1123.0,21600.0,360.0,6.0
7.0,0.7036677397656457,1121.0,25200.0,420.0,7.0
8.0,0.6977695958231748,1119.0,28800.0,480.0,8.0
9.0,0.68410100967031,1117.0,32400.0,540.0,9.0
10.0,0.6657177690619718,1115.0,36000.0,600.0,10.0
11.0,0.649928120539203,1113.0,39600.0,660.0,11.0
12.0,0.6389143708559698,1111.0,43200.0,720.0,12.0
13.0,0.6294968258711079,1109.0,46800.0,780.0,13.0
14.0,0.6267927937984299,1107.0,50400.0,840.0,14.0
15.0,0.6264088981584426,1106.0,54000.0,900.0,15.0
16.0,0.6361531421089456,1105.0,57600.0,960.0,16.0
17.0,0.6428090677759131,1104.0,61200.0,1020.0,17.0
18.0,0.6543212867112992,1103.0,64800.0,1080.0,18.0
19.0,0.660402361656575,1102.0,68400.0,1140.0,19.0
20.0,0.6636028336640792,1101.0,72000.0,1200.0,20.0
21.0,0.6602663516600298,1100.0,75600.0,1260.0,21.0
22.0,0.6506129840496273,1099.0,79200.0,1320.0,22.0
23.0,0.6480898840359541,1098.0,82800.0,1380.0,23.0
24.0,0.6494335491562357,1097.0,86400.0,1440.0,24.0
