item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
12.7x55mm PS12B,12.0,1.3057497193186202e-11,14.0,3.4118067927330145e-10,-42.0,0.1358716131623512,-10.0,-0.38504036740166336,28.0,0.04720928654604922,-42.0,0.1358716131623512
4.6x30mm AP SX,14.0,1.321527722734296e-38,17.0,9.163512433460024e-37,-42.0,0.17991910820000362,-34.0,-0.48469778747475073,6.0,0.10494323724699557,-42.0,0.17991910820000362
5.56x45mm M995,14.0,7.052574041671964e-54,17.0,2.4812844163034047e-40,-41.0,0.6744316377671212,-41.0,0.6744316377671212,7.0,0.6034938238443309,-41.0,0.6744316377671212
5.7x28mm SS190,13.0,4.0072094968654855e-20,16.0,4.349199727597237e-21,-41.0,0.19706063000551885,38.0,-0.31455406503851646,7.0,0.12844334624439047,-41.0,0.19706063000551885
5.8x42mm DVC12,12.0,2.2227985592681357e-35,17.0,3.578554754576519e-32,-42.0,0.23469628742116871,14.0,-0.3234994493236715,6.0,0.12176181972533459,-42.0,0.23469628742116871
6.8x51mm Hybrid,14.0,8.460977534699602e-37,15.0,7.6428739728794515e-34,-41.0,0.5040234015983216,-41.0,0.5040234015983216,7.0,0.37931781642876444,-41.0,0.5040234015983216
7.62x39mm AP,14.0,1.7265539605409188e-62,17.0,2.1290466372448986e-52,31.0,0.5781968916866819,31.0,0.5781968916866819,31.0,0.5781968916866819,-17.0,0.5551818631655042
7.62x51mm M62,13.0,3.6833841122700947e-62,17.0,9.578627049047003e-63,31.0,0.6733757556816552,31.0,0.6733757556816552,31.0,0.6733757556816552,-17.0,0.663704678892891
7.62x54R BT,8.0,2.618280544468799e-17,17.0,4.8166155631739406e-15,30.0,0.4607034632549513,30.0,0.4607034632549513,30.0,0.4607034632549513,-18.0,0.43867217173698014
9x39mm BP,14.0,5.356393207593275e-76,15.0,2.0516127401428352e-76,-41.0,0.3128074940434662,38.0,-0.608358392895523,7.0,0.22761364581533639,-41.0,0.3128074940434662
