lag_intervals,corr,n,lag_seconds,lag_minutes,lag_hours
-48.0,0.6077644373183438,1073.0,-172800.0,-2880.0,-48.0
-47.0,0.6112572478724908,1074.0,-169200.0,-2820.0,-47.0
-46.0,0.6148338563824712,1075.0,-165600.0,-2760.0,-46.0
-45.0,0.6162860027352401,1076.0,-162000.0,-2700.0,-45.0
-44.0,0.6216702559386031,1077.0,-158400.0,-2640.0,-44.0
-43.0,0.6290004801761103,1078.0,-154800.0,-2580.0,-43.0
-42.0,0.6321277730753074,1079.0,-151200.0,-2520.0,-42.0
-41.0,0.6300711286718019,1080.0,-147600.0,-2460.0,-41.0
-40.0,0.6238725435427658,1081.0,-144000.0,-2400.0,-40.0
-39.0,0.617871538794361,1082.0,-140400.0,-2340.0,-39.0
-38.0,0.6140867876983267,1083.0,-136800.0,-2280.0,-38.0
-37.0,0.6122529548952625,1084.0,-133200.0,-2220.0,-37.0
-36.0,0.6078852498973155,1085.0,-129600.0,-2160.0,-36.0
-35.0,0.6054518160623874,1086.0,-126000.0,-2100.0,-35.0
-34.0,0.6126990887617508,1087.0,-122400.0,-2040.0,-34.0
-33.0,0.6131087777649531,1088.0,-118800.0,-1980.0,-33.0
-32.0,0.6146836046288493,1089.0,-115200.0,-1920.0,-32.0
-31.0,0.620107333861528,1090.0,-111600.0,-1860.0,-31.0
-30.0,0.6261919404045297,1091.0,-108000.0,-1800.0,-30.0
-29.0,0.6198801433467218,1092.0,-104400.0,-1740.0,-29.0
-28.0,0.617907514398197,1093.0,-100800.0,-1680.0,-28.0
-27.0,0.6203079072044837,1094.0,-97200.0,-1620.0,-27.0
-26.0,0.6239115979626012,1095.0,-93600.0,-1560.0,-26.0
-25.0,0.6265828004271243,1096.0,-90000.0,-1500.0,-25.0
-24.0,0.6245291807396711,1097.0,-86400.0,-1440.0,-24.0
-23.0,0.6256608568639667,1098.0,-82800.0,-1380.0,-23.0
-22.0,0.6313890925997886,1099.0,-79200.0,-1320.0,-22.0
-21.0,0.6361904497914845,1100.0,-75600.0,-1260.0,-21.0
-20.0,0.6363184862920461,1101.0,-72000.0,-1200.0,-20.0
-19.0,0.6426934655795399,1102.0,-68400.0,-1140.0,-19.0
-18.0,0.6508185517285668,1103.0,-64800.0,-1080.0,-18.0
-17.0,0.6458726045387526,1104.0,-61200.0,-1020.0,-17.0
-16.0,0.641026864902043,1105.0,-57600.0,-960.0,-16.0
-15.0,0.635381119890055,1106.0,-54000.0,-900.0,-15.0
-14.0,0.6299134686375039,1107.0,-50400.0,-840.0,-14.0
-13.0,0.6267319904265972,1109.0,-46800.0,-780.0,-13.0
-12.0,0.6219193104161092,1111.0,-43200.0,-720.0,-12.0
-11.0,0.6476518715223245,1113.0,-39600.0,-660.0,-11.0
-10.0,0.6509021376096537,1115.0,-36000.0,-600.0,-10.0
-9.0,0.631993785094415,1117.0,-32400.0,-540.0,-9.0
-8.0,0.6313419641597359,1119.0,-28800.0,-480.0,-8.0
-7.0,0.6364231163536364,1121.0,-25200.0,-420.0,-7.0
-6.0,0.6396447423104494,1123.0,-21600.0,-360.0,-6.0
-5.0,0.6371815277368111,1125.0,-18000.0,-300.0,-5.0
-4.0,0.6347741650888409,1127.0,-14400.0,-240.0,-4.0
-3.0,0.6346766803445998,1129.0,-10800.0,-180.0,-3.0
-2.0,0.6391776587723119,1131.0,-7200.0,-120.0,-2.0
-1.0,0.6388056519235716,1134.0,-3600.0,-60.0,-1.0
0.0,0.6415335546305896,1137.0,0.0,0.0,0.0
1.0,0.6375298040552658,1134.0,3600.0,60.0,1.0
2.0,0.6412736170473037,1131.0,7200.0,120.0,2.0
3.0,0.6479812625539331,1129.0,10800.0,180.0,3.0
4.0,0.6480506802978135,1127.0,14400.0,240.0,4.0
5.0,0.6482154137929886,1125.0,18000.0,300.0,5.0
6.0,0.6519792058239628,1123.0,21600.0,360.0,6.0
7.0,0.6477088493042714,1121.0,25200.0,420.0,7.0
8.0,0.6419038725726609,1119.0,28800.0,480.0,8.0
9.0,0.6341900027922901,1117.0,32400.0,540.0,9.0
10.0,0.628330366379561,1115.0,36000.0,600.0,10.0
11.0,0.6282195485723439,1113.0,39600.0,660.0,11.0
12.0,0.618636607439657,1111.0,43200.0,720.0,12.0
13.0,0.619285856233554,1109.0,46800.0,780.0,13.0
14.0,0.6270154146197711,1107.0,50400.0,840.0,14.0
15.0,0.6217941932131615,1106.0,54000.0,900.0,15.0
16.0,0.6233373523688681,1105.0,57600.0,960.0,16.0
17.0,0.6252684134380034,1104.0,61200.0,1020.0,17.0
18.0,0.6331375770852778,1103.0,64800.0,1080.0,18.0
19.0,0.6292900706548318,1102.0,68400.0,1140.0,19.0
20.0,0.6208730317003044,1101.0,72000.0,1200.0,20.0
21.0,0.6181543808555564,1100.0,75600.0,1260.0,21.0
22.0,0.6174862907960333,1099.0,79200.0,1320.0,22.0
23.0,0.6212840353577676,1098.0,82800.0,1380.0,23.0
24.0,0.6262072738194511,1097.0,86400.0,1440.0,24.0
25.0,0.6267739701747016,1096.0,90000.0,1500.0,25.0
26.0,0.6321526032656267,1095.0,93600.0,1560.0,26.0
27.0,0.6379887429015337,1094.0,97200.0,1620.0,27.0
28.0,0.6390979509196958,1093.0,100800.0,1680.0,28.0
29.0,0.6446727921710841,1092.0,104400.0,1740.0,29.0
30.0,0.6470985420089701,1091.0,108000.0,1800.0,30.0
31.0,0.6434208724880439,1090.0,111600.0,1860.0,31.0
32.0,0.6365123298814109,1089.0,115200.0,1920.0,32.0
33.0,0.6300656692825441,1088.0,118800.0,1980.0,33.0
34.0,0.6246570829429645,1087.0,122400.0,2040.0,34.0
35.0,0.6225797820105341,1086.0,126000.0,2100.0,35.0
36.0,0.6216729495094816,1085.0,129600.0,2160.0,36.0
37.0,0.619290735315447,1084.0,133200.0,2220.0,37.0
38.0,0.6232789959775293,1083.0,136800.0,2280.0,38.0
39.0,0.6220177571597748,1082.0,140400.0,2340.0,39.0
40.0,0.6205447809751921,1081.0,144000.0,2400.0,40.0
41.0,0.6295714339709066,1080.0,147600.0,2460.0,41.0
42.0,0.6280159802110676,1079.0,151200.0,2520.0,42.0
43.0,0.6233585959603765,1078.0,154800.0,2580.0,43.0
44.0,0.6216043905212354,1077.0,158400.0,2640.0,44.0
45.0,0.6206442451212288,1076.0,162000.0,2700.0,45.0
46.0,0.6202231741505805,1075.0,165600.0,2760.0,46.0
47.0,0.6232168655605145,1074.0,169200.0,2820.0,47.0
48.0,0.6229279806879171,1073.0,172800.0,2880.0,48.0
